id,category,original_question,original_answer,mcq_question,option_a,option_b,option_c,option_d,answer
1703.04617,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Exploring Question Understanding and Adaptation in Neural-Network-Based Question Answering,"" what is the architecture of the baseline model proposed by the authors?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","word embedding, input encoder, alignment, aggregation, and prediction.",Which of the following components are included in the architecture of the baseline model proposed in the paper?,"Bag-of-words features, attention over sentences, and output decoder",Only recurrent neural networks and convolutional layers,"Word embedding, input encoder, alignment, aggregation, and prediction","Lexical analysis, parsing tree generator, and answer ranking",C
1703.04617,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Exploring Question Understanding and Adaptation in Neural-Network-Based Question Answering,"" what is the exact performance reported on the SQuAD dataset?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","68.73% EM score, 77.39% F1 score on SQuAD.","What was the exact performance reported on the SQuAD dataset in the paper ""Exploring Question Understanding and Adaptation in Neural-Network-Based Question Answering""?","68.73% EM score, 77.39% F1 score","75.30% EM score, 85.12% F1 score","72.50% EM score, 80.00% F1 score","65.00% EM score, 70.00% F1 score",A
1704.05572,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Answering Complex Questions Using Open Information Extraction,"" what corpus did the authors use as the source for their OpenIE extractions?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Domain-targeted ~80K sentences and 280 GB of plain text extracted from web pages used by Aristo (Clark et al., 2016).",Which corpus did the authors use as the source for their OpenIE extractions in the paper 'Answering Complex Questions Using Open Information Extraction'?,Only Wikipedia articles from the English Wikipedia dump.,A random selection of pages from the Common Crawl dataset.,A collection of newswire articles from the Reuters corpus.,"A domain-targeted set of ~80K sentences and 280 GB of plain text from web pages used by Aristo (Clark et al., 2016).",D
1704.05572,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Answering Complex Questions Using Open Information Extraction,"" what is the reported accuracy of the proposed technique?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",51.7% and 51.6% accuracy on 4th and 8th grade question sets with no curated knowledge; 47.5% and 48.0% when both solvers are given the same knowledge.,What is the reported accuracy of the proposed technique according to the paper 'Answering Complex Questions Using Open Information Extraction'?,"45% and 44% on 4th and 8th grade question sets, regardless of knowledge used.",55% and 54% on 4th and 8th grade question sets with curated knowledge only.,60% on both 4th and 8th grade question sets.,51.7% and 51.6% on 4th and 8th grade question sets with no curated knowledge; 47.5% and 48.0% when both solvers are given the same knowledge.,D
1704.05572,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Answering Complex Questions Using Open Information Extraction,"" do the authors employ an entity linking process as part of their approach?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",No evidence of entity linking; approach relies on token overlap and TF-IDF for tuple selection.,Which of the following best describes the selection method used in the paper 'Answering Complex Questions Using Open Information Extraction'?,They use neural network-based entity matching.,They manually annotate all entities.,They rely on token overlap and TF-IDF for tuple selection.,They use an entity linking process to select tuples.,C
1704.05572,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Answering Complex Questions Using Open Information Extraction,"" are all of the OpenIE extractions represented as triples?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","No; OpenIE extractions with multiple objects are converted into multiple triples, each with a single object.","In the paper ""Answering Complex Questions Using Open Information Extraction,"" how are OpenIE extractions with multiple objects represented?",As triples with multiple objects in the object position.,As a single triple containing all objects together.,They are ignored in the extraction process.,"As multiple triples, each with a single object.",D
1704.05572,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Answering Complex Questions Using Open Information Extraction,"" what specific OpenIE system or approach did the authors use to generate the extractions utilized in their experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Open IE v4.,Which OpenIE system did the authors use to generate the extractions utilized in their experiments?,Open IE v4,OLLIE,Open IE v2,ReVerb,A
1704.05572,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Answering Complex Questions Using Open Information Extraction,"" is the proposed method capable of answering multi-hop questions?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","No; the proposed method is not capable of reliable multi-hop reasoning, as learning rules for multi-hop reasoning remains an open problem and future work.","According to the paper 'Answering Complex Questions Using Open Information Extraction,' what is true about the proposed method's ability to answer multi-hop questions?",It is not capable of reliable multi-hop reasoning; this remains an open problem.,It is fully capable of reliable multi-hop reasoning.,It outperforms all previous methods on multi-hop reasoning tasks.,It is partially capable of multi-hop reasoning.,A
1704.05572,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Answering Complex Questions Using Open Information Extraction,"" what textual corpus was used as the source for applying OpenIE?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Domain-targeted ~80K sentences and 280 GB of plain text extracted from web pages used by Aristo (aristo2016:combining).,"Which textual corpus was used as the source for applying OpenIE in the paper ""Answering Complex Questions Using Open Information Extraction""?",A small subset of medical case reports,Only Wikipedia articles,~80K domain-targeted sentences and 280 GB of web text extracted from Aristo's sources,A collection of newswire documents,C
1704.05572,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Answering Complex Questions Using Open Information Extraction,"" which OpenIE system was employed to generate the information extractions used in their experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Open IE v4,Which Open Information Extraction (OpenIE) system was employed to generate the information extractions used in the experiments in the paper?,ReVerb,Open IE v4,ClausIE,OLLIE,B
1704.05572,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Answering Complex Questions Using Open Information Extraction,"" is the proposed method capable of performing multi-hop reasoning?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","No; the proposed method is not capable of reliable multi-hop reasoning, as learning inter-tuple connections for multi-hop reasoning is identified as an open problem and future work.","According to the paper 'Answering Complex Questions Using Open Information Extraction,' what is said about the method’s ability to perform multi-hop reasoning?",The method cannot perform simple reasoning tasks.,The method ignores reasoning altogether.,Multi-hop reasoning remains an open problem and is suggested as future work.,The method reliably performs multi-hop reasoning.,C
1603.07044,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Recurrent Neural Network Encoder with Attention for Community Question Answering,"" what supplemental tasks are incorporated into the multitask learning framework?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Predicting relevance between the original question and related question (oriQ/relQ), between the original question and related comment (oriQ/relC), and between the related question and related comment (relQ/relC).",Which of the following supplemental tasks are incorporated into the multitask learning framework in the paper?,Speech recognition and object detection.,"Predicting relevance between original question and related question, original question and related comment, and related question and related comment.",Machine translation and summarization.,Image classification and sentiment analysis.,B
1603.07044,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Recurrent Neural Network Encoder with Attention for Community Question Answering,"" is the observed improvement in performance primarily attributed to the use of a Recurrent Neural Network (RNN) encoder?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","No; the observed improvement is primarily attributed to the incorporation of the attention mechanism alongside the RNN encoder, rather than the RNN encoder alone.","According to the paper, what is mainly responsible for the observed improvement in performance in community question answering?",The attention mechanism alone,The combination of the RNN encoder and the attention mechanism,Preprocessing of the data,The RNN encoder alone,B
1603.07044,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Recurrent Neural Network Encoder with Attention for Community Question Answering,"" what is the reported performance gap between their RNN encoder with attention approach and the strong handcrafted feature-based method?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","0.007 MAP on Task A, 0.032 MAP on Task B, 0.055 MAP on Task C","According to the paper, what is the reported performance gap between their RNN encoder with attention approach and the strong handcrafted feature-based method?","0.1 MAP on Task A, 0.2 MAP on Task B, 0.3 MAP on Task C","0.02 MAP on Task A, 0.01 MAP on Task B, 0.025 MAP on Task C","0.007 MAP on Task A, 0.032 MAP on Task B, 0.055 MAP on Task C","0.05 MAP on Task A, 0.05 MAP on Task B, 0.05 MAP on Task C",C
1603.07044,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Recurrent Neural Network Encoder with Attention for Community Question Answering,"" did the authors conduct experiments on datasets in languages other than English?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Yes; the authors conducted preliminary experiments on the Arabic portion of the SemEval-2016 cQA task.,Which languages did the authors of 'Recurrent Neural Network Encoder with Attention for Community Question Answering' conduct experiments on?,Neither English nor Arabic datasets.,Both English and Arabic datasets.,Only Arabic datasets.,Only English datasets.,B
1905.08949,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Recent Advances in Neural Question Generation,"" do the authors discuss research on data augmentation methods for neural question generation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes, the authors discuss research on data augmentation methods for neural question generation.",Which of the following topics is discussed by the authors in 'Recent Advances in Neural Question Generation'?,Computer vision techniques for object detection,Mathematical optimization for scheduling problems,Data augmentation methods for neural question generation,Climate change impact assessment,C
1905.08949,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the survey ""Recent Advances in Neural Question Generation,"" what is the most recent paper discussed, including its title and publication year?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Kim et al. (2019),"Which of the following is the most recent paper discussed in the survey ""Recent Advances in Neural Question Generation""?",Kim et al. (2019),Zhou et al. (2016),Li et al. (2018),Wang et al. (2017),A
1905.08949,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Recent Advances in Neural Question Generation,"" do the authors discuss or survey research related to visual question generation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes; the authors discuss and survey research related to visual question generation (VQG), including both grounded and open-ended VQG approaches.","According to 'Recent Advances in Neural Question Generation,' what is one of the areas surveyed by the authors?","Visual question generation, including grounded and open-ended approaches",Historical overview of question answering systems from the 1980s,Applications of neural models in purely statistical data analysis,Only natural language processing with no mention of visual tasks,A
1905.08949,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Recent Advances in Neural Question Generation,"" do the authors survey multilingual aspects of neural question generation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes; the authors discuss multilingual aspects of neural question generation, including challenges and approaches for generating questions in multiple languages.",Which of the following aspects do the authors discuss in 'Recent Advances in Neural Question Generation'?,Historical aspects of question answering,Multilingual aspects of neural question generation,Only English language question generation,Hardware implementation of neural networks,B
1905.08949,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Recent Advances in Neural Question Generation,"" what learning paradigms are discussed as being used for neural question generation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Reductionist (separate content selection and question construction); end-to-end (joint optimization of both in unified neural frameworks, typically sequence-to-sequence models).",Which learning paradigms for neural question generation are discussed in 'Recent Advances in Neural Question Generation'?,Transfer learning and multitask learning,Supervised and unsupervised only,Reductionist and end-to-end,Reinforcement learning only,C
1905.08949,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Recent Advances in Neural Question Generation,"" what input modalities are discussed as having been considered in prior work on question generation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Textual inputs, knowledge bases, and images.","According to the paper ""Recent Advances in Neural Question Generation,"" which of the following input modalities have been considered in prior work on question generation?","Textual inputs, knowledge bases, and images.","Knowledge bases, tactile data, and speech.","Textual inputs, audio, and videos.","Textual inputs, audio, and sensor data.",A
1905.08949,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Recent Advances in Neural Question Generation,"" do the authors discuss or survey non-neural methods for question generation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes; the authors briefly mention non-neural methods for question generation, typically as background or in comparison to neural approaches, but the main focus is on neural methods.","In 'Recent Advances in Neural Question Generation,' how do the authors address non-neural methods for question generation?",They do not mention non-neural methods at all.,They focus the entire paper on non-neural methods.,They conduct experiments only using non-neural methods.,They briefly mention non-neural methods as background or for comparison.,D
1603.01417,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Dynamic Memory Networks for Visual and Textual Question Answering,"" why is supporting fact supervision necessary for training the DMN model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Supporting fact supervision is necessary because the GRU only allows sentences to have context from previous sentences (not future ones), limiting information flow, and supporting sentences may be too far apart at the word level for effective interaction through the GRU.",Why is supporting fact supervision necessary for training the DMN model according to the paper?,Because the DMN model ignores sequence information without it.,"Because the GRU only allows sentences to have context from previous sentences, limiting information flow, and supporting sentences may be too far apart for effective interaction.","Because the GRU allows all sentences to equally access both past and future context, making supervision redundant.",Because supporting fact supervision slows down the training process.,B
1603.01417,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Dynamic Memory Networks for Visual and Textual Question Answering,"" what does supporting fact supervision refer to?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Supporting fact supervision refers to labeling the facts that are relevant for answering a particular question during training.,"In the context of 'Dynamic Memory Networks for Visual and Textual Question Answering,' what does supporting fact supervision involve?",Providing answers to questions directly without using facts.,Labeling the facts that are relevant for answering a particular question during training.,Ignoring all facts during training.,Labeling images instead of facts during training.,B
1603.01417,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Dynamic Memory Networks for Visual and Textual Question Answering,"" what modifications did the authors make to the input module compared to previous architectures?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Replaced the single GRU with two components: a sentence reader for encoding words into sentence embeddings, and an input fusion layer (bi-directional GRU) for interactions between sentences.",What modification did the authors make to the input module in 'Dynamic Memory Networks for Visual and Textual Question Answering'?,They added a convolutional layer before the GRU but did not change its structure.,"They split the input into two separate pipelines, one for text and one for images, without changing the textual input module.",They removed the GRU entirely and used only a simple averaging of word embeddings.,They replaced the single GRU with a sentence reader and an input fusion layer (bi-directional GRU).,D
1603.01417,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Dynamic Memory Networks for Visual and Textual Question Answering,"" what specific improvements did the authors introduce to the original Dynamic Memory Network (DMN) architecture?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","- DMN+ model does not require labeled supporting facts during training; learns to select relevant facts automatically.
- Introduced a new input module for images, enabling visual question answering.
- Improved input module for text with a two-level encoder (sentence reader and input fusion layer) for better information flow.
- Modified memory module with attention gates in GRUs using global knowledge over facts.",Which of the following is NOT an improvement introduced in the DMN+ model according to the paper 'Dynamic Memory Networks for Visual and Textual Question Answering'?,The input module for text was improved using a two-level encoder with a sentence reader and an input fusion layer.,A reinforcement learning module was added for policy optimization.,A new input module was introduced for images to enable visual question answering.,The memory module was modified to use attention gates in GRUs with global knowledge over facts.,B
1603.01417,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Dynamic Memory Networks for Visual and Textual Question Answering,"" how does the proposed Dynamic Memory Network model address the challenge of not having supporting facts provided during training?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Input fusion layer enables interactions between input facts; attention-based GRU allows logical reasoning over ordered inputs—together, these modules let the model perform well without supervision of supporting facts.",How does the Dynamic Memory Network model address the absence of supporting facts during training in the 'Dynamic Memory Networks for Visual and Textual Question Answering' paper?,By using an input fusion layer and attention-based GRU for reasoning over inputs without needing supervised supporting facts.,By ignoring input facts and focusing only on final answers.,By relying solely on explicit supervision of supporting facts for correct answers.,By memorizing all possible answers during training.,A
1603.01417,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Dynamic Memory Networks for Visual and Textual Question Answering,"" does the DMN+ model achieve state-of-the-art performance on any benchmark datasets?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Yes; DMN+ achieves state-of-the-art results on both the VQA dataset and the bAbI-10k text question-answering dataset.,On which datasets does the DMN+ model achieve state-of-the-art performance as mentioned in the 'Dynamic Memory Networks for Visual and Textual Question Answering' paper?,VQA and bAbI-10k,MSCOCO and MNIST,SQuAD and SNLI,ImageNet and CIFAR-10,A
1607.06275,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Dataset and Neural Recurrent Sequence Labeling Model for Open-Domain Factoid Question Answering,"" which languages do the authors conduct experiments on?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Chinese,"Which language did the authors conduct experiments on in the paper ""Dataset and Neural Recurrent Sequence Labeling Model for Open-Domain Factoid Question Answering""?",English,French,Chinese,Spanish,C
1607.06275,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Dataset and Neural Recurrent Sequence Labeling Model for Open-Domain Factoid Question Answering,"" what baseline methods do the authors compare their proposed model against?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",MemN2N (end-to-end memory networks) and Attentive/Impatient Readers (bidirectional LSTM-based models).,Which of the following methods do the authors compare their proposed model against in 'Dataset and Neural Recurrent Sequence Labeling Model for Open-Domain Factoid Question Answering'?,Random Forest and SVM,Convolutional Neural Networks and Decision Trees,MemN2N and Attentive/Impatient Readers,Transformer and BERT,C
1607.06275,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Dataset and Neural Recurrent Sequence Labeling Model for Open-Domain Factoid Question Answering,"" what was the reported inter-annotator agreement?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Verified by at least two annotators; specific inter-annotator agreement score not reported.,"In the paper 'Dataset and Neural Recurrent Sequence Labeling Model for Open-Domain Factoid Question Answering,' how was the dataset verification described?",Verified by a panel of experts; specific agreement score was reported.,Verified by only one annotator; specific inter-annotator agreement score was 0.95.,Verified by at least two annotators; no specific inter-annotator agreement score reported.,Not verified by any annotator; agreement score was 0.80.,C
