id,category,original_question,original_answer,mcq_question,option_a,option_b,option_c,option_d,answer
1911.00069,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping,"" which languages are used in the experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","English, German, Spanish, Italian, Japanese, Portuguese, Arabic, Chinese",Which of the following languages is NOT used in the experiments in the paper 'Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping'?,English,Portuguese,French,Arabic,C
1911.00069,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping,"" which datasets are utilized for training and evaluation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","in-house dataset (English, German, Spanish, Italian, Japanese, Portuguese); ACE05 dataset (English, Arabic, Chinese)",Which of the following datasets are utilized for training and evaluation in the paper 'Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping'?,CoNLL-2003 dataset and ACE05 dataset,OntoNotes dataset and ACE05 dataset,in-house dataset and ACE05 dataset,SemEval-2010 Task 8 dataset and in-house dataset,C
2001.01589,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Morphological Word Segmentation on Agglutinative Languages for Neural Machine Translation,"" how is morphological knowledge incorporated into the proposed segmentation method?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Morphological segmentation is first applied to extract stems and morphemes; then, a BPE model is learned and applied specifically to the stem units, combining morpheme boundaries with subword segmentation.",How is morphological knowledge incorporated into the segmentation method in the discussed paper?,"Morphological segmentation is applied first to extract stems and morphemes, followed by learning and applying BPE on stems, combining morpheme boundaries with subword segmentation.",BPE is applied globally across all words without respecting any morpheme boundaries.,Characters are randomly shuffled before segmentation to test robustness.,Word segmentation is performed solely by frequency analysis of full words.,A
2001.01589,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
How does the word segmentation method proposed in ""Morphological Word Segmentation on Agglutinative Languages for Neural Machine Translation"" operate, and what are its key steps?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Morpheme segmentation and Byte Pair Encoding (BPE); use Zemberek for Turkish and a morphology analysis tool for Uyghur; after segmentation, add a specific symbol after each subword unit to mark morpheme boundaries and aid semantic capture.",Which of the following best describes the key steps in the word segmentation method proposed for Neural Machine Translation in agglutinative languages?,It avoids any morphological analysis and uses raw words as input.,"It uses morpheme segmentation, Byte Pair Encoding (BPE), language-specific morphology analysis tools, and adds a symbol after each subword unit.",It only uses Byte Pair Encoding (BPE) for all languages without additional segmentation or annotation.,It relies on manual word splitting without automated tools or symbols.,B
2001.01589,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Morphological Word Segmentation on Agglutinative Languages for Neural Machine Translation,"" is the proposed word segmentation method evaluated independently from the neural machine translation system?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",The proposed word segmentation method is not evaluated independently; it is assessed within the context of neural machine translation performance.,How is the proposed word segmentation method evaluated in the paper on morphological segmentation for neural machine translation?,It is only evaluated using human judgment.,It is evaluated within the context of neural machine translation performance.,It is evaluated independently from any neural machine translation system.,It is not evaluated at all in the paper.,B
1806.00722,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Dense Information Flow for Neural Machine Translation,"" which baseline models are used for comparison in the experimental evaluation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","4-layer encoder, 4-layer decoder, residual-connected model, with embedding and hidden size set as 256.",Which of the following configurations were used as baseline models for comparison in the experimental evaluation of the paper 'Dense Information Flow for Neural Machine Translation'?,"2-layer encoder, 2-layer decoder, without residual connections, embedding size 512.","4-layer encoder, 4-layer decoder, residual-connected model, embedding and hidden size 256.","Single-layer encoder and decoder, no residual connections, embedding and hidden size 128.","6-layer encoder, 6-layer decoder, with attention mechanism, embedding size 256.",B
1806.00722,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
Did the authors of ""Dense Information Flow for Neural Machine Translation"" demonstrate that their proposed method outperformed previous neural machine translation approaches in terms of translation quality?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes; in almost all genres, DenseNMT models are significantly better than the baselines.",What did the authors of 'Dense Information Flow for Neural Machine Translation' conclude about their method's translation quality compared to previous approaches?,Their proposed method outperformed previous neural machine translation approaches in translation quality.,Their proposed method was not evaluated against previous approaches.,Their proposed method performed the same as previous neural machine translation approaches.,Their proposed method performed worse than previous neural machine translation approaches.,A
1806.00722,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
Which language pairs are explored in the experiments of the paper ""Dense Information Flow for Neural Machine Translation""?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","German-English, Turkish-English, English-German",Which of the following language pairs is NOT explored in the experiments of the paper 'Dense Information Flow for Neural Machine Translation'?,Turkish-English,French-English,English-German,German-English,B
1806.00722,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
Which datasets were used in the experiments described in the paper ""Dense Information Flow for Neural Machine Translation""?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","IWSLT14 German-English, IWSLT14 Turkish-English, WMT14 English-German","Which of the following datasets was used in the experiments described in the paper ""Dense Information Flow for Neural Machine Translation""?",WikiText-103,CIFAR-10,IWSLT14 German-English,ImageNet,C
1909.01013,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Duality Regularization for Unsupervised Bilingual Lexicon Induction,"" what specific regularizers were introduced to enforce consistency in back translation cycles?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",an adversarial loss ($\ell_{adv}$) for each model; a cycle consistency loss ($\ell_{cycle}$) on each side to enforce consistency in back translation cycles.,Which regularizers were introduced in the paper to enforce consistency in back translation cycles for unsupervised bilingual lexicon induction?,A regular cross-entropy loss for each direction.,An adversarial loss for each model and a cycle consistency loss on each side.,Only a reconstruction loss on the translated words.,No specific regularizer was introduced.,B
1909.01013,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Duality Regularization for Unsupervised Bilingual Lexicon Induction,"" what new best results does the proposed method achieve on standard bilingual lexicon induction benchmarks?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","New best accuracy (P@1) on Vecmap: EN-IT 50.00, IT-EN 42.67, EN-DE 51.60, DE-EN 47.22, FI-EN 39.62, EN-ES 39.47, ES-EN 36.43.",Which of the following is a new best P@1 accuracy reported in 'Duality Regularization for Unsupervised Bilingual Lexicon Induction' on Vecmap benchmarks?,EN-RU 30.00,EN-FR 60.00,EN-PT 45.00,EN-IT 50.00,D
1909.01013,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Duality Regularization for Unsupervised Bilingual Lexicon Induction,"" how does the proposed method's performance compare to competitive baselines in terms of bilingual lexicon induction accuracy?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Proposed method achieves comparable or slightly better accuracy (P@1) than the best competitive baselines on most language pairs, consistently outperforming some baselines and matching or narrowly trailing others (e.g., EN-IT: 50 vs 50, EN-DE: 51.6 vs 51.47, EN-FI: 35.88 vs 36.24), demonstrating robust and competitive performance.","According to the paper 'Duality Regularization for Unsupervised Bilingual Lexicon Induction,' how does the proposed method perform relative to competitive baselines in bilingual lexicon induction accuracy?",It achieves comparable or slightly better accuracy than the best baselines on most language pairs.,It consistently underperforms all competitive baselines.,It performs substantially worse on all language pairs tested.,It achieves far lower accuracy than all other methods.,A
1909.01013,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Duality Regularization for Unsupervised Bilingual Lexicon Induction,"" which 6 language pairs are used in the experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","EN↔ES, EN↔DE, EN↔IT, EN↔EO, EN↔MS, EN↔FI",Which of the following is NOT one of the six language pairs used in the experiments in 'Duality Regularization for Unsupervised Bilingual Lexicon Induction'?,EN↔IT,EN↔RU,EN↔ES,EN↔FI,B
1909.01013,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Duality Regularization for Unsupervised Bilingual Lexicon Induction,"" what are the current state-of-the-art methods that consider the two tasks of bilingual lexicon induction independently?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Procrustes, GPA, GeoMM, GeoMM$_{semi}$, Adv-C-Procrustes, Unsup-SL, Sinkhorn-BT",Which of the following is NOT listed as a state-of-the-art method that considers bilingual lexicon induction tasks independently according to the paper 'Duality Regularization for Unsupervised Bilingual Lexicon Induction'?,Procrustes,BERT,Sinkhorn-BT,GeoMM$_{semi}$,B
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" do the authors conduct any human evaluation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Yes; the authors conduct a manual (human) evaluation for the En-It task.,Which of the following best describes the evaluation conducted by the authors in the En-It task in the paper 'Controlling the Output Length of Neural Machine Translation'?,They conducted a manual (human) evaluation.,They only performed automatic evaluation metrics.,They used only BLEU scores for all evaluations.,They did not conduct any evaluation.,A
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" which dataset do the authors use for their experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","English→Italian and English→German portions of the MuST-C corpus (TED talks), plus additional data: ~16 million public and proprietary sentence pairs for English-Italian and 4.4 million WMT14 sentence pairs for English-German.",Which datasets did the authors use for their experiments in 'Controlling the Output Length of Neural Machine Translation'?,Only publicly available English-Spanish corpus data.,Only the English→French portion of the MuST-C corpus.,"English→Italian and English→German portions of the MuST-C corpus, ~16 million public/proprietary English-Italian pairs, and 4.4 million WMT14 English-German pairs.",The IWSLT14 German-English dataset exclusively.,C
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" how do the authors enrich the positional embedding with length information?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","They introduce new trigonometric positional encodings that incorporate both position and length information (absolute or relative), encoding the remaining length of the sequence during decoding.",How do the authors enrich positional embedding with length information in their neural machine translation model?,They use new trigonometric positional encodings that also encode remaining length information.,They replace positional embeddings with a fixed vector for all positions.,They ignore positional embeddings altogether and rely solely on recurrent connections.,They add random noise to the positional embeddings to simulate length variation.,A
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" how do the authors condition the output to a given target-source length class?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Prepend a length token (<short>, <normal>, <long>) to each source sentence based on target/source length ratio during training; at inference, use the desired length token to bias output length.",How do the authors in 'Controlling the Output Length of Neural Machine Translation' bias the output length of translations?,"They prepend a length token (<short>, <normal>, <long>) to each source sentence based on the target/source length ratio.",They use reinforcement learning to reward correct output length.,They train the model with variable beam search sizes based on sentence length.,They prune vocabulary words based on length constraints.,A
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" which languages are used in the experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",English–Italian (En-It) and English–German (En-De),Which language pairs were used in the experiments for controlling the output length in neural machine translation?,English–Italian (En-It) and English–German (En-De),English–Chinese (En-Zh) and English–French (En-Fr),German–Spanish (De-Es) and French–Italian (Fr-It),French–German (Fr-De) and English–Spanish (En-Es),A
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" which dataset do the authors use for their experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","English→Italian and English→German portions of the MuST-C corpus (TED talks), plus additional data: ~16 million public and proprietary sentence pairs for English-Italian and 4.4 million WMT14 sentence pairs for English-German.",Which datasets did the authors use for their experiments in 'Controlling the Output Length of Neural Machine Translation'?,"English→French and English→Spanish portions of the MuST-C corpus, with additional WMT14 French data",The Gigaword English news dataset,"English→Italian and English→German portions of the MuST-C corpus, plus public/proprietary English-Italian and WMT14 English-German data",Only the English→German portion of the WMT14 dataset,C
