id,category,original_question,original_answer,mcq_question,option_a,option_b,option_c,option_d,answer
1911.03310,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""How Language-Neutral is Multilingual BERT?"", what specific challenges do the authors identify that must be addressed in order to develop more effective language-neutral representations?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","contextual embeddings do not represent similar semantic phenomena similarly across languages, making them not directly usable for zero-shot cross-lingual tasks; thus, developing more effective language-neutral representations requires addressing this inconsistency in semantic representation.","According to the paper 'How Language-Neutral is Multilingual BERT?', what challenge hinders the development of effective language-neutral representations?",Word embeddings are identical for all languages.,Monolingual models are more effective than multilingual ones for all tasks.,There are no challenges; mBERT is perfectly language-neutral.,Contextual embeddings do not represent similar semantic phenomena similarly across languages.,D
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" which dataset do the authors use for training and evaluating their model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","A parallel corpus of 18,805 aligned pairs, with English expressions as source and Python code as target.",Which dataset did the authors use for training and evaluating their model in the paper 'Machine Translation from Natural Language to Code using Long-Short Term Memory'?,"A parallel corpus of 18,805 aligned English expressions and Python code.",A dataset of Spanish questions and C++ code.,A collection of Java documentation and Ruby programs.,A Wikipedia dump of programming concepts.,A
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" do the authors compare their LSTM-based model to any other models? If so, which models do they use for comparison?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Yes; the authors compare their LSTM-based model to phrase-based statistical machine translation (SMT) models.,"Which models do the authors compare their LSTM-based model to in the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory""?",Phrase-based statistical machine translation (SMT) models,Convolutional neural networks,Support vector machines,Random forests,A
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" what is the architecture of the proposed system for translating natural language to code?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","LSTM-based sequence-to-sequence architecture with encoder, decoder, and output layers.","What architecture does the proposed system use for translating natural language to code, according to the referenced paper?",A rule-based expert system.,Recurrent Neural Network without encoder-decoder layers.,Transformer-based model with self-attention layers.,"LSTM-based sequence-to-sequence architecture with encoder, decoder, and output layers.",D
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" what additional techniques do the authors suggest could be incorporated to further improve accuracy?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Phrase-based word embedding; Abstract Syntax Tree (AST).,"According to the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" which additional techniques do the authors suggest could further improve accuracy?",Bag-of-words and decision trees,Support vector machines and stemming,Phrase-based word embedding and Abstract Syntax Tree (AST),Recurrent neural networks and dropout regularization,C
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" which programming language is used as the target language for code generation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Python,Which programming language is used as the target language for code generation in the paper 'Machine Translation from Natural Language to Code using Long-Short Term Memory'?,C++,JavaScript,Java,Python,D
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" which dataset is used to evaluate the accuracy of the proposed model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",500 validation data from the source corpus.,Which dataset was used to evaluate the accuracy of the proposed model in the paper 'Machine Translation from Natural Language to Code using Long-Short Term Memory'?,500 validation data from the source corpus,A hand-annotated test set from Wikipedia,1000 randomly selected Stack Overflow posts,The Penn Treebank dataset,A
1903.03467,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
What conclusions are drawn from the syntactic analysis in the paper ""Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection""?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","enables control over the morphological realization of first and second-person pronouns, as well as related verbs and adjectives","According to the syntactic analysis in the paper 'Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection', what does their approach enable?",It prevents neural machine translation from using any first or second-person pronouns.,"It enables control over the morphological realization of first and second-person pronouns, as well as related verbs and adjectives.",It translates only third-person pronouns accurately.,It ignores morphological realization in translation.,B
1903.03467,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection,"" what type of syntactic analysis do the authors perform?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Speaker's Gender Effects: analyze first-person singular pronouns and the gender of their governing verbs/adjectives; Interlocutors' Gender and Number Effects: analyze second-person pronouns and their gender/number, including governing verbs/adjectives.",Which aspects did the authors analyze in their syntactic analysis for filling gender and number gaps in neural machine translation?,Word frequency counts in the translation corpus.,Exclusively the translation of third-person pronouns.,Analysis of only masculine plural noun phrases.,Speaker's gender effects on first-person singular pronouns and their governing verbs/adjectives; Interlocutors' gender and number effects on second-person pronouns and their governing verbs/adjectives.,D
1903.03467,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection,"" how do the authors demonstrate that their system successfully injects the correct gender and number information into neural machine translation outputs?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","- Show that providing correct gender and number information as prefixes increases BLEU scores by up to 2.3 over the baseline.
- Demonstrate that adding “She said” prefixes substantially increases the proportion of feminine-marked verbs in translations, bringing them much closer to the reference.",How did the authors demonstrate the success of their black-box context injection system in neural machine translation?,By comparing translation speed without measuring gender or number accuracy.,By showing that correct gender and number prefixes increase BLEU scores and that 'She said' prefixes increase feminine-marked verbs in translations.,By adding random prefixes unrelated to gender or number and observing no change.,By only evaluating BLEU scores on a generic test set.,B
1903.03467,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
Which neural machine translation system is used in the paper ""Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection""?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Google's machine translation system (GMT),"Which neural machine translation system is used in the paper ""Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection""?",Google's machine translation system (GMT),Amazon Translate,Facebook's machine translation system,Microsoft Translator,A
1903.03467,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection,"" what are the components of the black-box context injection system described by the authors?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Components:  
- Black-box context injection by prepending context phrases to the input (e.g., “He said:”, “She said:”, “I said to them:”)
- Context phrases encode information about speaker gender and audience number/gender
- No modification to the NMT system internals or training; operates solely by modifying input text",Which of the following best describes a component of the black-box context injection system from the paper?,It prepends context phrases to the input that encode speaker and audience gender and number.,It uses post-processing on the output to adjust gender and number.,It retrains the NMT model to recognize gender and number.,It modifies the NMT system's internal code to add gender and number recognition.,A
1911.00069,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping,"" do the authors train their own relation extraction (RE) model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Yes.,"In the paper 'Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping,' what do the authors do regarding the relation extraction (RE) model?",They do not use any RE model in their work.,They only discuss RE models in theory without experimentation.,They use only publicly available RE models without any training.,They train their own RE model.,D
1911.00069,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping,"" what are the sizes of the datasets used in the experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",In-house dataset: 3716 documents; ACE05 dataset: 1635 documents.,"According to the paper, what are the sizes of the datasets used in the experiments?",In-house: 2000 documents; ACE05: 3716 documents.,In-house: 1635 documents; ACE05: 3716 documents.,In-house: 3716 documents; ACE05: 2000 documents.,In-house: 3716 documents; ACE05: 1635 documents.,D
1911.00069,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping,"" which languages are used in the experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","English, German, Spanish, Italian, Japanese, Portuguese, Arabic, Chinese","Which of the following languages is NOT used in the experiments in the paper ""Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping""?",Portuguese,French,Italian,Japanese,B
1911.00069,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping,"" which datasets are utilized for training and evaluation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","in-house dataset (English, German, Spanish, Italian, Japanese, Portuguese); ACE05 dataset (English, Arabic, Chinese)",Which of the following datasets are used for training and evaluation in the paper 'Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping'?,"In-house dataset (English, German, Spanish, Italian, Japanese, Portuguese) and ACE05 dataset (English, Arabic, Chinese)","SQuAD dataset and in-house dataset (English, German, Spanish, Italian, Japanese, Portuguese)","ACE05 dataset (English, Arabic, Chinese) and CoNLL-2003 dataset",CoNLL-2003 dataset and OntoNotes 5.0 dataset,A
2001.01589,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Morphological Word Segmentation on Agglutinative Languages for Neural Machine Translation,"" how is morphological knowledge incorporated into the proposed segmentation method?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Morphological segmentation is first applied to extract stems and morphemes; then, a BPE model is learned and applied specifically to the stem units, combining morpheme boundaries with subword segmentation.",How does the proposed segmentation method incorporate morphological knowledge in the paper?,"BPE is applied after NMT training is complete, with no morphological consideration.","It first applies morphological segmentation to extract stems and morphemes, then applies a BPE model to the stem units, combining morpheme boundaries with subword segmentation.",Morphological rules are manually encoded into the NMT model without any segmentation.,It ignores morphological information and only uses direct character-level segmentation.,B
2001.01589,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
How does the word segmentation method proposed in ""Morphological Word Segmentation on Agglutinative Languages for Neural Machine Translation"" operate, and what are its key steps?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Morpheme segmentation and Byte Pair Encoding (BPE); use Zemberek for Turkish and a morphology analysis tool for Uyghur; after segmentation, add a specific symbol after each subword unit to mark morpheme boundaries and aid semantic capture.",Which of the following best describes the key steps of the word segmentation method proposed in the referenced paper?,Perform word-level tokenization and use frequency-based word replacement with no morphological consideration.,Use only rule-based segmentation for all languages and skip the use of morphology analysis tools.,Apply BPE directly to raw words without any morphological information and do not mark subword boundaries.,"Perform morpheme segmentation, then apply BPE; use Zemberek for Turkish and a morphology analysis tool for Uyghur; add a specific symbol after each subword unit to mark morpheme boundaries.",D
2001.01589,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Morphological Word Segmentation on Agglutinative Languages for Neural Machine Translation,"" is the proposed word segmentation method evaluated independently from the neural machine translation system?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",The proposed word segmentation method is not evaluated independently; it is assessed within the context of neural machine translation performance.,How is the proposed word segmentation method in the paper evaluated?,It is evaluated on synthetic data without using any translation tasks.,It is not evaluated in the paper.,"It is evaluated as a standalone segmentation method, independent of translation.",It is assessed based on its contribution to neural machine translation performance.,D
1806.00722,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Dense Information Flow for Neural Machine Translation,"" which baseline models are used for comparison in the experimental evaluation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","4-layer encoder, 4-layer decoder, residual-connected model, with embedding and hidden size set as 256.",Which of the following is NOT one of the baseline models used in the experimental evaluation of 'Dense Information Flow for Neural Machine Translation'?,4-layer encoder,Residual-connected model,8-layer LSTM with attention,4-layer decoder,C
1806.00722,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
Did the authors of ""Dense Information Flow for Neural Machine Translation"" demonstrate that their proposed method outperformed previous neural machine translation approaches in terms of translation quality?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes; in almost all genres, DenseNMT models are significantly better than the baselines.","According to the paper, how did the DenseNMT models compare to baseline neural machine translation models in terms of translation quality?",DenseNMT models were not evaluated against baselines.,DenseNMT models were significantly better than the baselines in almost all genres.,DenseNMT models performed worse than the baselines in almost all cases.,DenseNMT models performed the same as the baselines in all tested genres.,B
1806.00722,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
Which language pairs are explored in the experiments of the paper ""Dense Information Flow for Neural Machine Translation""?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","German-English, Turkish-English, English-German","Which of the following language pairs are explored in the experiments of the paper ""Dense Information Flow for Neural Machine Translation""?","Portuguese-English, Japanese-English, English-Korean","Spanish-English, Russian-English, English-Italian","French-English, Chinese-English, German-French","German-English, Turkish-English, English-German",D
1806.00722,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
Which datasets were used in the experiments described in the paper ""Dense Information Flow for Neural Machine Translation""?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","IWSLT14 German-English, IWSLT14 Turkish-English, WMT14 English-German",Which of the following datasets was NOT used in the experiments described in 'Dense Information Flow for Neural Machine Translation'?,IWSLT14 German-English,WMT14 English-German,IWSLT14 Turkish-English,MNIST,D
1909.01013,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Duality Regularization for Unsupervised Bilingual Lexicon Induction,"" what specific regularizers were introduced to enforce consistency in back translation cycles?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",an adversarial loss ($\ell_{adv}$) for each model; a cycle consistency loss ($\ell_{cycle}$) on each side to enforce consistency in back translation cycles.,Which regularizers were specifically introduced in the paper 'Duality Regularization for Unsupervised Bilingual Lexicon Induction' to enforce consistency in back translation cycles?,An adversarial loss for each model and a cycle consistency loss on each side,Only reconstruction loss for each model,Only embedding similarity loss,Dropout regularization and L2 norm,A
1909.01013,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Duality Regularization for Unsupervised Bilingual Lexicon Induction,"" what new best results does the proposed method achieve on standard bilingual lexicon induction benchmarks?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","New best accuracy (P@1) on Vecmap: EN-IT 50.00, IT-EN 42.67, EN-DE 51.60, DE-EN 47.22, FI-EN 39.62, EN-ES 39.47, ES-EN 36.43.","According to the paper ""Duality Regularization for Unsupervised Bilingual Lexicon Induction,"" what achievement does the proposed method make on standard bilingual lexicon induction benchmarks?","It achieves new best accuracy (P@1) on Vecmap: EN-IT 50.00, IT-EN 42.67, EN-DE 51.60, DE-EN 47.22, FI-EN 39.62, EN-ES 39.47, ES-EN 36.43.",It only matches previously reported results without improvement.,It achieves the lowest accuracy recorded on Vecmap benchmarks.,It fails to achieve new best results on any standard bilingual lexicon induction benchmark.,A
1909.01013,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Duality Regularization for Unsupervised Bilingual Lexicon Induction,"" how does the proposed method's performance compare to competitive baselines in terms of bilingual lexicon induction accuracy?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Proposed method achieves comparable or slightly better accuracy (P@1) than the best competitive baselines on most language pairs, consistently outperforming some baselines and matching or narrowly trailing others (e.g., EN-IT: 50 vs 50, EN-DE: 51.6 vs 51.47, EN-FI: 35.88 vs 36.24), demonstrating robust and competitive performance.","According to the results in the paper 'Duality Regularization for Unsupervised Bilingual Lexicon Induction,' how does the proposed method’s accuracy compare with competitive baselines?",It performs significantly worse than the best baseline.,It consistently achieves lower accuracy than all baselines.,It achieves perfect accuracy across all language pairs.,"It achieves comparable or slightly better accuracy (P@1) than most competitive baselines, while sometimes narrowly trailing some.",D
1909.01013,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Duality Regularization for Unsupervised Bilingual Lexicon Induction,"" which 6 language pairs are used in the experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","EN↔ES, EN↔DE, EN↔IT, EN↔EO, EN↔MS, EN↔FI",Which of the following is NOT one of the six language pairs tested in the experiments of the paper 'Duality Regularization for Unsupervised Bilingual Lexicon Induction'?,EN↔EO,EN↔ES,EN↔FI,EN↔RU,D
1909.01013,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Duality Regularization for Unsupervised Bilingual Lexicon Induction,"" what are the current state-of-the-art methods that consider the two tasks of bilingual lexicon induction independently?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Procrustes, GPA, GeoMM, GeoMM$_{semi}$, Adv-C-Procrustes, Unsup-SL, Sinkhorn-BT","Which of the following is a state-of-the-art method that considers the two tasks of bilingual lexicon induction independently, according to the paper?",word2vec,fastText,GloVe,Procrustes,D
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" do the authors conduct any human evaluation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Yes; the authors conduct a manual (human) evaluation for the En-It task.,Which type of evaluation did the authors conduct for the En-It task in the paper 'Controlling the Output Length of Neural Machine Translation'?,Manual (human) evaluation,Both automatic and manual evaluations were conducted,No evaluation was conducted,Only automatic (machine) evaluation,A
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" which dataset do the authors use for their experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","English→Italian and English→German portions of the MuST-C corpus (TED talks), plus additional data: ~16 million public and proprietary sentence pairs for English-Italian and 4.4 million WMT14 sentence pairs for English-German.",Which dataset combination did the authors use for their experiments in the paper 'Controlling the Output Length of Neural Machine Translation'?,English→French and English→Spanish WMT14 sentence pairs only,Only the English→Italian MuST-C corpus,"English→Italian and English→German MuST-C corpus, with additional English-Italian and English-German data",Only the English→German MuST-C corpus,C
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" how do the authors enrich the positional embedding with length information?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","They introduce new trigonometric positional encodings that incorporate both position and length information (absolute or relative), encoding the remaining length of the sequence during decoding.",How do the authors of the paper 'Controlling the Output Length of Neural Machine Translation' enrich the positional embedding with length information?,They introduce new trigonometric positional encodings that incorporate both position and length information.,They add random noise to the positional encodings during training.,They ignore positional encoding and use only word embeddings.,They use only the standard sinusoidal positional encoding without any length information.,A
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" how do the authors condition the output to a given target-source length class?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Prepend a length token (<short>, <normal>, <long>) to each source sentence based on target/source length ratio during training; at inference, use the desired length token to bias output length.",How do the authors of 'Controlling the Output Length of Neural Machine Translation' control output length?,"By prepending a length token (<short>, <normal>, <long>) to each source sentence based on target/source length ratio.",By adjusting the learning rate based on sentence length during training.,By using a separate length prediction neural network after translation.,By truncating the output manually to match the source length.,A
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" which languages are used in the experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",English–Italian (En-It) and English–German (En-De),Which language pairs are used in the experiments of the paper 'Controlling the Output Length of Neural Machine Translation'?,German–Japanese (De-Ja) and English–Russian (En-Ru),English–Chinese (En-Zh) and Spanish–Italian (Es-It),English–Italian (En-It) and English–German (En-De),French–Spanish (Fr-Es) and English–French (En-Fr),C
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" which dataset do the authors use for their experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","English→Italian and English→German portions of the MuST-C corpus (TED talks), plus additional data: ~16 million public and proprietary sentence pairs for English-Italian and 4.4 million WMT14 sentence pairs for English-German.","Which dataset did the authors use for their experiments in the paper ""Controlling the Output Length of Neural Machine Translation""?",English→Italian and English→German MuST-C (TED talks) plus additional public and proprietary data.,SQuAD (Stanford Question Answering Dataset).,Penn Treebank Corpus.,ImageNet dataset.,A
